=========================
ELE = He
A   = 4
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
8              0.00023        1.82e-05       1.82e-05       3.4e-47        
8.1            0.000239       1.72e-05       1.72e-05       8.54e-39       
8.2            0.000248       1.65e-05       1.65e-05       5.7e-33        
8.3            0.000257       1.75e-05       1.75e-05       3.32e-28       
8.4            0.000266       1.68e-05       1.68e-05       4.21e-24       
8.5            0.000274       1.63e-05       1.63e-05       4.4e-21        
8.6            0.000284       1.59e-05       1.59e-05       2.86e-18       
8.7            0.000294       1.56e-05       1.56e-05       9.2e-16        
8.8            0.000303       1.53e-05       1.53e-05       7.08e-14       
8.9            0.000313       1.52e-05       1.52e-05       2.52e-12       
9              0.000322       1.48e-05       1.48e-05       7.12e-11       
9.1            0.000333       1.65e-05       1.65e-05       1.99e-10       
9.2            0.000343       1.6e-05        1.6e-05        1.74e-09       
9.3            0.000355       1.56e-05       1.56e-05       8.6e-09        
9.4            0.000365       1.52e-05       1.52e-05       4.55e-08       
9.5            0.000375       1.48e-05       1.48e-05       1.97e-07       
9.6            0.00039        4.69e-06       4.69e-06       0.997          
9.7            0.000401       4.9e-06        4.9e-06        0.997          
9.8            0.000411       5.1e-06        5.1e-06        0.997          
9.9            0.000422       5.31e-06       5.31e-06       0.999          
10             0.000433       2.49e-05       2.49e-05       0.974          
END DATA
-------------------------

=========================
ELE = B
A   = 10
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              6.81e-07       9.97e-08       9.97e-08       0.0131         
4.1            7.84e-07       1.22e-07       1.22e-07       0.00449        
4.2            8.83e-07       1.5e-07        1.5e-07        0.00196        
4.3            9.82e-07       1.83e-07       1.83e-07       0.000602       
4.4            1.08e-06       2.16e-07       2.16e-07       0.000286       
4.5            1.22e-06       2.69e-07       2.69e-07       0.000187       
4.6            1.36e-06       3.36e-07       3.36e-07       7.36e-05       
4.7            1.49e-06       4e-07          4e-07          3.59e-05       
4.8            1.63e-06       4.66e-07       4.66e-07       2e-05          
4.9            1.7e-06        4.81e-07       4.81e-07       0.00108        
5              1.84e-06       5.52e-07       5.52e-07       0.000854       
5.1            1.99e-06       6.53e-07       6.53e-07       0.000401       
5.2            2.12e-06       7.5e-07        7.5e-07        0.000218       
5.3            2.17e-06       8.47e-07       8.47e-07       7.85e-05       
5.4            2.06e-06       9.38e-07       9.38e-07       1.24e-05       
5.5            2.07e-06       9.83e-07       9.83e-07       5.24e-06       
5.6            2.12e-06       1.01e-06       1.01e-06       3.28e-06       
5.7            2.18e-06       1.04e-06       1.04e-06       2.19e-06       
5.8            2.24e-06       1.06e-06       1.06e-06       1.48e-06       
5.9            2.3e-06        1.08e-06       1.08e-06       1.15e-06       
6              2.37e-06       1.09e-06       1.09e-06       9.29e-07       
6.1            2.46e-06       1.11e-06       1.11e-06       5.31e-07       
6.2            2.53e-06       1.14e-06       1.14e-06       2.6e-07        
6.3            2.69e-06       1.2e-06        1.2e-06        2.41e-07       
6.4            2.86e-06       1.26e-06       1.26e-06       1.98e-07       
6.5            3.03e-06       1.32e-06       1.32e-06       1.65e-07       
6.6            3.18e-06       1.37e-06       1.37e-06       1.53e-07       
6.7            3.35e-06       1.42e-06       1.42e-06       1.46e-07       
6.8            3.51e-06       1.48e-06       1.48e-06       1.41e-07       
6.9            3.68e-06       1.53e-06       1.53e-06       1.37e-07       
7              3.87e-06       1.62e-06       1.62e-06       1.36e-07       
7.1            4.1e-06        1.78e-06       1.78e-06       1.42e-07       
7.2            4.32e-06       1.93e-06       1.93e-06       1.68e-07       
7.3            4.83e-06       3.69e-06       3.45e-06       8.37e-08       
7.4            5.03e-06       3.47e-06       3.41e-06       1.21e-07       
7.5            5.28e-06       3.24e-06       3.24e-06       1.74e-07       
7.6            5e-06          3.14e-06       3.14e-06       6.5e-05        
7.7            5.13e-06       3.18e-06       3.18e-06       6.85e-05       
7.8            5.26e-06       3.23e-06       3.23e-06       7.19e-05       
7.9            5.4e-06        3.27e-06       3.27e-06       7.52e-05       
8              5.54e-06       3.32e-06       3.32e-06       7.85e-05       
8.1            5.67e-06       3.37e-06       3.37e-06       7.67e-05       
8.2            5.81e-06       3.43e-06       3.43e-06       7.5e-05        
8.3            5.96e-06       3.48e-06       3.48e-06       7.36e-05       
8.4            6.1e-06        3.54e-06       3.54e-06       7.22e-05       
8.5            6.24e-06       3.59e-06       3.59e-06       7.09e-05       
8.6            6.37e-06       3.64e-06       3.64e-06       7.36e-05       
